country,electricity_generation,electricity_demand,renewables_share_elec,fossil_share_elec,carbon_intensity_elec,generation_score,demand_score,carbon_score,sustainability_score,risk_score,risk_level
Malaysia,201.09,199.91,20.652,79.348,601.97,1.9000582045777523,1.8923882278325241,60.197,20.652,39.03,Moderate Risk
Malta,2.19,3.23,15.982,84.018,484.02,0.020692861246333866,0.03057582900254641,48.402,15.982,36.35,Moderate Risk
Mexico,356.97,356.66,23.092,74.062,474.02,3.37293638315242,3.3762152235443357,47.402,24.515,32.99,Moderate Risk
Moldova,6.16,6.17,11.201,88.799,633.12,0.05820457775224503,0.058406459735514345,63.312000000000005,11.200999999999997,43.24,High Risk
Mongolia,9.69,12.41,8.359,91.641,816.31,0.09155882441871012,0.11747555353609936,81.631,8.358999999999998,50.66,High Risk
Montenegro,2.46,4.34,75.61,24.39,264.23,0.023244035920539412,0.041083312034381245,26.423000000000002,75.61,7.79,Low Risk
Morocco,44.5,48.23,23.955,76.045,596.4,0.4204713814894324,0.4565548708336883,59.63999999999999,23.955,37.54,Moderate Risk
Netherlands,134.96,121.11,51.2,45.843,253.56,1.2752093852991868,1.1464515945815466,25.356,52.6785,15.17,Low Risk
New Zealand,43.34,43.34,88.533,11.467,92.76,0.4095107791854383,0.4102651482880376,9.276000000000002,88.533,-2.7,Low Risk
Nigeria,41.54,39.24,31.319,68.681,455.71,0.392502948024068,0.3714537244767558,45.571,31.319000000000003,30.02,Moderate Risk
North Macedonia,6.82,8.35,47.214,52.786,441.35,0.06444078251141415,0.07904277776200078,44.135000000000005,47.214,23.93,Moderate Risk
Norway,160.81,137.71,98.999,1.001,28.11,1.5194607383666434,1.3035905300125903,2.811,98.999,-8.56,Low Risk
Oman,52.84,52.84,4.542,95.458,544.47,0.49927433253711484,0.5001940571190564,54.447,4.542000000000001,42.52,High Risk
Pakistan,195.03,195.51,42.747,45.096,346.56,1.8427985063344723,1.850736943742368,34.656,48.825500000000005,18.71,Low Risk
Paraguay,45.35,29.65,100.0,0.0,24.7,0.4285028573156351,0.2806728575620746,2.4699999999999998,100.0,-9.12,Low Risk
Peru,60.44,60.47,63.65,36.35,238.25,0.571085175218456,0.572421170211759,23.825,63.65,11.12,Low Risk
Philippines,123.12,123.12,23.311,76.689,588.29,1.1633356514377287,1.1654786584500043,58.829,23.311000000000003,37.55,Moderate Risk
Poland,173.26,174.31,31.508,68.492,588.6,1.637098237232788,1.650053484035252,58.86,31.507999999999996,34.74,Moderate Risk
Portugal,51.13,60.44,80.951,19.049,127.91,0.4831168929338131,0.5721371841838715,12.791,80.951,1.21,Low Risk
Puerto Rico,20.27,20.27,6.364,93.636,654.66,0.19152707646720887,0.19187989284260548,65.46600000000001,6.3640000000000025,45.7,High Risk
Qatar,56.18,56.18,4.058,95.942,581.52,0.5308333081365464,0.5318111682238568,58.152,4.058000000000003,43.99,High Risk
