country,renewables_share_elec,low_carbon_share_elec,fossil_share_elec,carbon_intensity_elec,electricity_generation,carbon_score,generation_score,ai_readiness_score
South Korea,10.394,39.958,60.042,417.06,624.66,58.294000000000004,1.9660490961480659,29.55
Japan,23.569,32.705,67.295,477.26,1029.86,52.274,3.241371821725494,29.42
Cyprus,27.75,27.75,72.25,489.0,5.91,51.1,0.018601079240282828,28.04
Poland,31.508,31.508,68.492,588.6,173.26,41.14,0.5453169186415232,27.72
Africa (Ember),26.21,27.233,72.767,529.88,998.12,47.012,3.141473639815752,27.1
Mexico,23.092,25.938,74.062,474.02,356.97,52.598,1.1235240704574891,26.93
ASEAN (Ember),26.946,26.946,73.054,565.01,1369.85,43.498999999999995,4.3114531975129315,26.56
Dominican Republic,23.81,23.81,76.19,537.48,22.68,46.251999999999995,0.07138282185611074,24.67
India,24.067,26.653,73.347,670.13,2081.6,32.986999999999995,6.551608552719582,23.57
Morocco,23.955,23.955,76.045,596.4,44.5,40.36000000000001,0.14005888768064056,23.29
Philippines,23.311,23.311,76.689,588.29,123.12,41.171,0.3875067472188869,23.19
Serbia,27.799,27.799,72.201,695.8,36.62,30.42,0.11525744869359679,22.92
Israel,16.931,16.931,83.069,492.69,82.1,50.731,0.25840077929394584,22.05
Malta,15.982,15.982,84.018,484.02,2.19,51.598,0.006892785708328153,21.69
Malaysia,20.652,20.652,79.348,601.97,201.09,39.803,0.6329088027797756,21.44
Thailand,16.575,16.575,83.425,545.74,188.24,45.426,0.5924648318427815,20.59
Egypt,13.015,13.015,86.985,563.23,245.71,43.677,0.7733453773485437,18.23
South Africa,13.635,17.841,82.159,699.29,242.76,30.070999999999998,0.7640605746820742,16.43
Taiwan,12.24,13.367,86.633,633.21,288.39,36.678999999999995,0.9076760138925827,16.42
Azerbaijan,12.14,12.14,87.86,631.9,28.09,36.809999999999995,0.08841020572919536,15.9
Singapore,5.486,5.486,94.514,497.09,60.15,50.291000000000004,0.18931555267394448,15.63
Moldova,11.201,11.201,88.799,633.12,6.16,36.687999999999995,0.01938792692388193,15.34
Oman,4.542,4.542,95.458,544.47,52.84,45.553,0.16630812640550668,13.92
Middle East (Ember),5.075,8.109,91.891,634.61,1581.74,36.539,4.978353820224189,13.83
Tunisia,4.034,4.034,95.966,560.29,22.31,43.971000000000004,0.07021828728438406,13.23
Kazakhstan,14.86,14.86,85.14,805.32,123.69,19.46799999999999,0.3893007599374928,13.12
Qatar,4.058,4.058,95.942,581.52,56.18,41.848,0.17682041145839072,12.73
Puerto Rico,6.364,6.364,93.636,654.66,20.27,34.53399999999999,0.06379761018621538,12.15
Iran,3.843,5.7,94.3,659.53,395.78,34.04700000000001,1.2456743048594139,11.43
Uzbekistan,19.377,19.377,80.623,1000.0,86.7,0.0,0.27287877667216937,10.71
Kuwait,2.238,2.238,97.762,635.31,92.49,36.46900000000001,0.2911021690243246,10.41
Mongolia,8.359,8.359,91.641,816.31,9.69,18.369,0.03049821621630128,9.2
Bangladesh,2.137,2.137,97.863,696.13,103.4,30.387,0.32544020193658957,8.84
Kosovo,11.028,11.028,88.972,900.94,5.35,9.905999999999992,0.016838540429020832,8.55
