country,year,iso_code,population,gdp,electricity_demand,electricity_generation,per_capita_electricity,primary_energy_consumption,coal_share_elec,gas_share_elec,oil_share_elec,fossil_share_elec,renewables_share_elec,low_carbon_share_elec,nuclear_share_elec,solar_share_elec,wind_share_elec,hydro_share_elec,carbon_intensity_elec,demand_score,carbon_score,grid_stress_index,risk_level
Malta,2025,MLT,545406.0,,3.23,2.19,4015.357,,0.0,83.105,0.913,84.018,15.982,15.982,0.0,15.525,0.0,0.0,484.02,0.010166072072100428,48.402,39.73,Low
Dominican Republic,2025,DOM,11520483.0,,22.68,22.68,1968.667,,29.056,26.764,20.37,76.19,23.81,23.81,0.0,9.921,6.261,6.746,537.48,0.07138282185611074,53.748000000000005,39.01,Low
Africa (Ember),2025,,,,998.12,998.12,,,23.802,42.023,6.942,72.767,26.21,27.233,1.023,3.991,3.236,17.942,529.88,3.141473639815752,52.988,38.98,Low
OECD (Ember),2025,,,,11365.01,11365.01,,,15.915,30.081,1.866,47.862,35.929,52.138,16.209,9.489,10.718,12.16,335.93,35.770127170322624,33.593,38.74,Low
Poland,2025,POL,38140913.0,,174.31,173.26,4542.628,,50.398,14.325,3.769,68.492,31.508,31.508,0.0,11.284,14.21,0.981,588.6,0.5486216789126395,58.86,38.43,Low
Mexico,2025,MEX,131946897.0,,356.66,356.97,2705.406,,3.048,61.607,9.407,74.062,23.092,25.938,2.846,7.379,5.989,8.054,474.02,1.122548379329826,47.402,36.89,Low
Cyprus,2025,CYP,1370754.0,,5.91,5.91,4311.496,,0.0,0.0,72.25,72.25,27.75,27.75,0.0,23.181,3.553,0.0,489.0,0.018601079240282828,48.9,36.35,Low
Japan,2025,JPN,123103480.0,,1029.86,1029.86,8365.808,,32.051,32.778,2.465,67.295,23.569,32.705,9.136,9.813,1.248,7.176,477.26,3.241371821725494,47.726,35.8,Low
G7 (Ember),2025,,,,7829.55,7829.55,,,15.363,32.91,1.451,49.724,32.489,50.276,17.787,8.755,10.455,10.046,342.42,24.642653124493467,34.242,35.05,Low
Australia,2025,AUS,26974024.0,,286.34,286.34,10615.397,,42.729,16.432,2.221,61.382,38.618,38.618,,19.589,13.7,4.268,525.18,0.9012238628870701,52.518,34.53,Low
United States,2025,USA,347275809.0,,4535.81,4519.79,13014.986,,16.309,39.987,0.702,56.998,25.638,43.002,17.363,8.603,10.275,5.348,384.4,14.275966366982615,38.44,34.34,Low
Nigeria,2025,NGA,237527788.0,,39.24,41.54,174.885,,0.0,68.681,0.0,68.681,31.319,31.319,0.0,0.313,0.0,30.862,455.71,0.12350361241771542,45.571,34.33,Low
Russia,2025,RUS,143997393.0,,1176.11,1192.79,8283.414,,18.404,44.699,1.213,64.316,17.353,35.684,18.331,0.238,0.305,16.745,449.73,3.70167771663097,44.973,34.27,Low
Bosnia and Herzegovina,2025,BIH,3140098.0,,14.44,14.44,4598.583,,55.402,0.0,1.039,56.44,43.56,43.56,0.0,4.086,2.562,36.634,570.64,0.04544832220468426,57.06400000000001,34.07,Low
Bolivia,2025,BOL,12581847.0,,13.63,13.63,1083.307,,0.0,62.436,1.467,63.903,36.097,36.097,0.0,2.935,2.054,27.88,481.29,0.04289893570982317,48.129,33.63,Low
North America (Ember),2025,,,,5172.82,5172.82,,,14.766,37.18,0.762,52.708,30.471,47.292,16.821,7.713,9.973,11.346,359.95,16.280885738700473,35.995,33.12,Low
Cambodia,2025,KHM,17847981.0,,22.39,17.76,995.071,,56.588,,2.534,59.122,40.878,40.878,,10.642,,29.899,498.87,0.07047007854313578,49.887,32.73,Low
Turkey,2025,TUR,87685427.0,,351.93,353.86,4035.562,,34.307,22.144,0.291,56.743,43.257,43.257,0.0,10.527,11.14,16.184,474.74,1.1076612211561312,47.474,31.71,Low
South Korea,2025,KOR,51667035.0,,624.66,624.66,12090.106,,31.142,27.948,0.953,60.042,10.394,39.958,29.563,6.051,0.583,0.608,417.06,1.9660490961480659,41.705999999999996,31.31,Low
Oceania (Ember),2025,,,,342.16,342.16,,,36.226,15.145,4.106,55.477,44.523,44.523,0.0,16.706,12.725,11.211,469.87,1.0769112136810781,46.987,31.17,Low
Vietnam,2025,VNM,101598530.0,,313.59,309.99,3051.127,,48.143,6.239,0.2,54.582,45.418,45.418,0.0,7.432,4.636,33.017,460.73,0.9869902603993723,46.073,30.59,Low
