scenario,year,ai_demand_twh,forecast_global_demand_twh,ai_share_pct,stress_level
Base,2030,946.0,36576.59372727048,2.5863534670662593,LOW
Base,2035,1193.0,42107.27908668394,2.83323934929169,LOW
Headwinds,2030,669.0,36576.59372727048,1.829038551233961,LOW
Headwinds,2035,707.0,42107.27908668394,1.6790446101837595,LOW
High Efficiency,2030,792.0,36576.59372727048,2.1653191817298914,LOW
High Efficiency,2035,972.0,42107.27908668394,2.308389478215861,LOW
Lift-Off,2030,1264.0,36576.59372727048,3.4557619263972,MODERATE
Lift-Off,2035,1719.0,42107.27908668394,4.082429540178052,MODERATE
